Battle Quiz #,Question #,Group,Quiz Title,Difficulty,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Fun Fact
1,1,"General K-pop","K-pop iconic dances - name that move","hard","multiple_choice","The 'horse riding dance' is the signature move of which song?","Fantastic Baby by BIGBANG","Sorry Sorry by Super Junior","Gangnam Style by PSY","Gee by Girls' Generation","Gangnam Style by PSY",""
1,2,"TWICE","TWICE members facts quiz","medium","multiple_choice","Which TWICE member was the first to release a solo album?","Jihyo","Nayeon","Momo","Chaeyoung","Nayeon","Nayeon released IM NAYEON in June 2022, debuting at #7 on the Billboard 200."
1,3,"Stray Kids","Stray Kids basics","easy","multiple_choice","Who is the leader of Stray Kids?","Han","Bang Chan","Felix","Hyunjin","Bang Chan",""
1,4,"General K-pop","K-pop English songs quiz","medium","multiple_choice","Jungkook's solo hit 'Seven' (ft. Latto) is primarily in which language?","Mix of Korean and English","Japanese","English","Korean","English",""
1,5,"BTS","BTS members - know your biases","easy","multiple_choice","Which member is known as the 'Golden Maknae'?","V","RM","Jungkook","Jimin","Jungkook",""
2,1,"NewJeans","NewJeans members quiz","easy","multiple_choice","Which NewJeans member is Korean-Australian?","Danielle","Hanni","Haerin","Minji","Danielle",""
2,2,"TWICE","TWICE specific eras quiz","hard","multiple_choice","Which TWICE album marked their transition to a more mature concept?","More & More","Feel Special","Twicetagram","Eyes Wide Open","Eyes Wide Open",""
2,3,"aespa","aespa members and concepts","easy","multiple_choice","Which company does aespa belong to?","JYP Entertainment","YG Entertainment","HYBE","SM Entertainment","SM Entertainment",""
2,4,"General K-pop","MAMAMOO true or false","medium","true_false","MAMAMOO debuted in 2015","True","False","","","False",""
2,5,"TWICE","TWICE true or false","medium","true_false","Nayeon was the first TWICE member to debut solo","True","False","","","True",""
